n_Gen,n_Eval,general_HV,n_valid,valid_HV,min_CV,mean_CV,max_CV,time
68,13800,3.4855302149044656,0,0.0,2.2783583868534265,16612.051028697395,2576513.8984170994,10277.607351416955
69,14000,0.2158964873020299,0,0.0,1.5805410726186082,224.39642074576494,3512.239536762097,9549.426639250014
70,14200,0.21773658597173673,2,0.0,0.0,215.5927011142322,351.1307123126493,11503.082158874953
71,14400,0.23186848950068858,2,0.0,0.0,418.7053573045967,40911.71403928468,16114.469581541955
72,14600,0.17126808311445102,1,0.0,0.0,207.25435021573387,354.19385504758884,16584.689018792007
73,14800,0.2255146197233081,2,0.0,0.0,232.78695742557503,354.19385504758884,18413.861964249983
74,15000,0.10887563470776516,1,0.0,0.0,727.1639250160665,99217.67313260649,22478.485269709025
75,15200,0.11457627957150739,1,0.0,0.0,723.2923947570031,99217.67313260649,29481.66868891701
76,15400,0.11212674940533439,2,0.0,0.0,238.62968541903712,353.55144740046615,26052.58124412503
77,15600,0.11125861327723538,1,0.0,0.0,271.4383913738384,353.55144740046615,27731.50070600002
78,15800,0.11082106611720817,0,0.0,4.684811141915098,285.63814309642186,353.55144740046615,36811.48878541705
79,16000,0.11061569252200333,2,0.011293527242025689,0.0,299.09546889328647,354.6802161909011,30781.086007417063
80,16200,0.10723897869067783,2,0.011293527242025689,0.0,314.34973809179576,352.446545478699,29621.121197625063
81,16400,0.10097605681399192,1,0.004528002818254371,0.0,320.4826104388566,351.1815241865594,27514.760671459022
82,16600,0.10581355705865876,1,0.004528002818254371,0.0,321.57512578556606,529.5386787696239,28528.511267374968
83,16800,0.003366314718115013,0,0.0,296.6645605643971,324.4386053232269,347.0050272861447,27961.682412249967
84,17000,0.004677997254843133,0,0.0,296.6645605643971,328.54952381308277,348.35998578310455,19524.204964625067
85,17200,0.0020708165162763754,0,0.0,302.19123105534436,330.3085161197846,348.35998578310455,20755.675950917066
86,17400,0.010718102292827901,0,0.0,298.7031056405849,332.4341133905083,347.70804105758134,13995.30937683303
87,17600,0.008921984413028088,0,0.0,303.8100947747032,334.3878914717095,347.70804105758134,13789.34470191691
88,17800,0.019236308148834612,0,0.0,299.5442064207824,332.5541108605474,347.70804105758134,14765.713930166909
89,18000,0.019473757277993466,0,0.0,301.8075422586511,334.69180233748267,349.4702041696206,11982.271232875064
90,18200,0.009376130447255743,0,0.0,306.14910426361723,335.0058343550276,348.09024276317336,14367.105265207938
91,18400,0.01598384094005841,0,0.0,292.3034428117511,334.40771255572014,348.0520207834386,9548.870098958025
92,18600,0.020379904255659193,0,0.0,292.3034428117511,333.9117882162833,348.7112105706657,13095.534946374944
93,18800,0.02234154449075688,0,0.0,280.9118206241767,332.18988338950015,348.7112105706657,10661.078815624933
94,19000,0.027935258956231328,0,0.0,280.9118206241767,331.03555605887146,349.11894097419724,15643.681800083024
95,19200,0.026494794279515177,0,0.0,256.35610444358633,330.08546122037734,347.70804105758134,13204.220982665895
96,19400,0.02279055883649962,0,0.0,289.5301236066267,331.9415353466859,347.41053278039794,15449.27627283393
97,19600,0.026774848772987803,0,0.0,256.75300049039424,332.1066801163423,348.9541216275312,17188.228756458033
98,19800,0.03016677371223511,0,0.0,256.75300049039424,330.9860690098965,347.3707509003193,17939.670005541993
99,20000,0.032909595738170545,0,0.0,267.700729325382,329.76706332553294,347.6449048603499,22001.17014429206
100,20200,0.03437949931651035,0,0.0,264.0369816434668,328.9095017978896,347.81847984786816,18582.625357832992
101,20400,0.034202829867215755,0,0.0,250.48615932012595,328.3056742415963,347.48979792548016,22872.8225382081
102,20600,0.0343209364144361,0,0.0,248.0030871909726,329.2759024548461,347.13562404874904,15433.414131333935
103,20800,0.03346977325609265,0,0.0,216.5902981076064,330.57741484592424,346.83392251890973,20689.071748459013
104,21000,0.03159198965335528,0,0.0,216.5902981076064,332.64591198797643,347.55212169438823,15872.537577999989
105,21200,0.000433436335841523,0,0.0,292.65616199131057,334.6135467864484,347.55212169438823,18732.18218058301
106,21400,0.0036033588074948263,0,0.0,292.65616199131057,333.30237358777066,346.45688409756485,24094.015730415937
107,21600,0.00853740518775725,0,0.0,286.6114076561904,334.72126548243324,346.96814777458496,17259.528947958956
108,21800,0.01153092527850101,0,0.0,271.7037322868547,333.79641043338654,346.5800666909006,21967.230010583065
109,22000,0.009598607736955065,0,0.0,263.99035436824397,333.3662062935225,346.2610455508528,16490.929107165895
110,22200,0.0015567743968292976,0,0.0,291.7268598581253,334.2413309916763,344.62608678659956,17611.81398083293
111,22400,0.0034976523598678503,0,0.0,303.18531208729587,333.49994934722895,345.84021549971635,26850.887572250096
112,22600,0.0033044163959625693,0,0.0,304.38068400985605,333.7178143401545,345.4031022132134,19714.648682625033
113,22800,0.003997366047101614,0,0.0,272.8678788804875,334.01042021084504,344.8746693905523,24357.679424208123
114,23000,0.009213354333443561,0,0.0,290.4942674174829,334.10979532157916,346.187831309952,14175.14087474998
115,23200,0.01161918484561064,0,0.0,290.4942674174829,334.07090722832845,347.83659199387705,13967.300969042117
116,23400,0.016395845944012107,0,0.0,289.71935029663314,332.9897042234261,347.50987538217385,21041.942908792058
117,23600,0.01755112108425814,0,0.0,283.4788414482317,332.7904900507677,346.2235032100821,13220.637995583005
118,23800,0.02279946297706067,0,0.0,266.9023605395365,331.53995067244585,346.2235032100821,14181.714213124942
119,24000,0.024396666603065977,0,0.0,255.11853679910777,331.2089215061774,345.03074526675425,20474.628817334073
120,24200,0.025923934322097643,0,0.0,264.4847917033551,331.08379400699573,344.937959596002,13818.27899054205
